normalized_price,Author,date_of_birth,Currency,hasAfter,circleOf,mannerOf,hasFollowers,sale_date,Sign,Technique,Material,Nazi,Framed,square_m,ExhibitedNum,ProvenanceNum,LiteratureNum,CataloguingLength,City,century,nationality,sex,style,repeat_sale,feature1,feature2,day_of_week,month,isUntitled,isNumbered,normalized_estimateto,log_normalized_price,log_normalized_estimateto
1.30678e+06,Edvard Munch,1863,GBP,0,0,0,0,2002-06-25 00:00:00,1,oil,canvas,0,0,0.9314,0,1,0,2235,london,19,Norwegian,M,expressionism,1,�,�,Tuesday,6,0,0,1.28768e+06,14.0831,14.0684
370239,Francis Bacon,1909,GBP,1,0,0,0,2013-11-20 00:00:00,1,ink,watercolor,0,0,0.0279,0,4,7,3701,london,20,English,M,expressionism,1,self-taught,homosexual,Wednesday,11,0,0,85222.8,12.8219,11.353
11924.3,Roy Lichtenstein,1923,GBP,1,0,0,0,2015-09-16 00:00:00,1,lithograph,paper,0,0,0.223,0,0,1,0,london,20,American,M,pop-art,1,�,�,Wednesday,9,0,1,6980.24,9.38634,8.85084
3.86169e+06,Alberto Giacometti,1901,USD,0,0,0,0,2008-06-05 00:00:00,1,oil,canvas,0,0,0.2497,1,5,1,9962,new york,20,Swiss,M,expressionism,1,sculptor,�,Tuesday,5,0,0,4.15602e+06,15.1666,15.2401
796268,Zhang Xiaogang,1958,GBP,0,0,0,0,2007-08-02 00:00:00,1,oil,canvas,0,0,0.2991,0,2,0,0,london,21,Chinese,M,symbolism,1,coeval,�,Thursday,2,0,0,239378,13.5877,12.3858
95809.7,Piet Mondrian,1872,USD,1,0,0,0,2006-03-05 00:00:00,1,oil,board,0,0,0.4798,3,3,2,1063,new york,20,Netherlander,M,abstractionism,1,migrant,�,Wednesday,5,0,0,101456,11.4701,11.5274
107319,Cy Twombly,1928,GBP,0,0,0,0,2015-09-16 00:00:00,1,print,paper,0,0,0.4225,0,0,1,0,london,20,American,M,abstract expressionism,1,migrant,�,Wednesday,9,1,1,69802.5,11.5836,11.1534
323224,Berthe Morisot,1841,USD,0,0,0,1,2007-07-11 00:00:00,1,oil,canvas,0,0,0.1739,6,7,2,0,new york,19,French,F,impressionism,1,�,�,Wednesday,11,0,0,246604,12.6861,12.4155
1.37982e+06,Pieter Brueghel II,1564,USD,1,1,1,1,2012-01-25 00:00:00,0,oil,panel,0,0,0.2117,0,4,0,2105,new york,17,Netherlander,M,renaissance,1,�,�,Wednesday,1,0,0,890816,14.1375,13.6999
225582,Kees van Dongen,1877,USD,1,0,0,0,2016-05-13 00:00:00,1,oil,canvas,0,0,0.182,1,2,0,164,new york,20,Netherlander,M,fauvism,1,migrant,�,Friday,5,0,0,127825,12.3264,11.7584
2040.7,Camille Pissarro,1830,GBP,1,1,0,0,2004-03-06 00:00:00,0,etching,paper,0,0,0.0263,0,0,0,0,london,19,French,M,impressionism,1,�,�,Thursday,6,0,0,1226.26,7.62105,7.11172
3.32025e+06,Sir Peter Paul Rubens,1577,GBP,1,1,1,1,2013-02-07 00:00:00,0,oil,panel,0,0,0.4452,4,3,23,28235,london,17,Netherlander,M,baroque,1,�,�,Tuesday,7,0,0,3.55095e+06,15.0156,15.0827
47182.8,Max Beckmann,1884,GBP,0,0,0,0,2019-06-20 00:00:00,1,ink,paper,0,0,0.0994,2,5,1,351,london,20,German,M,expressionism,0,migrant,�,Thursday,6,0,0,64713,10.7618,11.0777
188601,Cy Twombly,1928,GBP,0,0,0,0,2003-06-27 00:00:00,1,oil,paper,0,0,0.6126,0,2,0,1576,london,20,American,M,abstract expressionism,1,migrant,�,Friday,6,0,0,161884,12.1474,11.9946
14140.9,Camille Pissarro,1830,USD,1,1,0,0,1999-10-11 00:00:00,1,charcoal,paper,0,0,0.0516,0,3,0,0,new york,19,French,M,impressionism,1,�,�,Wednesday,11,0,0,13813.1,9.55683,9.53337
